#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     331   10.868   -8.456   -4.122  -11.415    0.744
     332   14.265   -8.564   -2.041   -6.635    4.057
     333   11.577   -7.357   -1.435   -7.979    1.243
     334   10.666  -12.359   -3.142   -8.985    2.252
     335    8.314  -11.255   -4.903   -5.155   -3.344
     336   17.081  -10.224   -7.711   -6.793   -5.475
     337    8.750  -12.966  -10.659   -9.087   -6.059
     338   12.513  -14.224   -7.682   -9.029    0.979
     339    5.998  -13.187  -10.194   -8.099    2.697
     340    6.875   -9.310   -0.429   -7.233    3.776
     341   10.410  -12.679   -4.324   -7.075    4.033
     342    5.167  -12.573   -1.573   -7.114    6.386
     343    6.683  -10.224   -1.185   -7.242    1.864
     344    8.496   -8.406   -2.074   -7.214    1.018
     345    7.747   -8.931   -8.733   -7.603    3.199
     346   12.701   -8.902    4.609  -12.399    4.365
     347   10.852  -12.593    2.409  -12.931    6.392
     348   13.952   -8.438    1.518  -11.769    5.172
     349    8.081   -8.285   -2.081  -11.968    3.148
     350    9.995  -10.612   -2.911   -8.876    5.414
     351    8.819   -6.577   -1.031   -7.593    1.232
     352   11.642   -6.336   -3.106   -7.142    2.046
     353   11.240   -6.283   -4.213  -10.419    8.816
     354    3.912   -9.036   -6.184   -8.825    6.081
     355    8.561  -10.660   -5.796   -8.034    8.633
     356    6.999  -11.779   -5.953   -5.539    7.082
     357    7.274   -8.914   -0.174   -7.658    6.471
     358   10.181   -4.359   -0.366   -9.762   10.525
     359    8.327   -5.615    0.399  -11.538    9.134
     360   12.776  -10.175    4.049  -10.935    8.631
     361   15.648   -6.768    1.982  -12.483    8.979
     362   18.554   -1.045   -0.514  -12.633    9.251
     363    7.959   -6.755   -2.215  -10.136   12.763
     364    3.754   -2.541  -10.196   -6.116    6.203
     365    5.078   -8.164   -7.368   -8.436    2.922
     366    9.557   -9.117   -9.600   -8.392    5.633
     367    3.179  -11.249  -15.675   -4.719    2.694
     368    5.521  -13.353   -7.925   -5.176    1.406
     369    3.937   -8.448   -7.290   -7.521    6.126
     370    7.950  -10.735   -1.913   -5.203    5.991
     371    9.002   -7.082   -6.479   -6.823    0.177
     372    6.991   -5.917   -7.716   -1.820    0.637
     373    2.909   -9.130  -13.862   -4.850    1.269
     374    9.967  -12.726  -18.427   -4.047    3.082
     375   10.674  -10.360  -15.921   -2.023    1.657
     376    6.110  -13.401  -17.019   -5.181    2.297
     377    2.601  -12.864  -12.367   -6.960   -1.700
     378    9.873  -12.757  -14.430   -6.329    1.878
     379    7.038  -11.633  -11.835   -6.436    4.422
     380   10.953   -6.557  -16.414   -8.291    1.726
     381    7.553   -8.225  -18.114  -11.536    2.565
     382    1.734   -4.403  -17.902   -7.022    1.753
     383    2.200    0.033  -13.861  -11.930    1.019
     384    2.122   -3.495   -5.668  -14.944    5.667
     385   -1.451   -2.120   -0.706   -9.799    5.780
     386   -1.085   -1.934   -3.354  -14.328    5.814
     387    9.754   -2.037  -10.760  -11.315    3.364
     388    5.791   -5.686   -6.928  -15.233   10.633
     389    4.583   -5.430  -13.818  -17.542    7.568
     390    8.092   -4.563  -16.669  -18.529    0.076
     391   -4.363   -4.065  -16.854  -14.683    3.166
     392    2.402   -0.310  -16.754  -13.806    3.555
     393    0.648    1.315   -7.547  -15.363    2.956
     394    1.265   -2.765   -9.997  -11.218    4.342
     395    1.496   -2.474   -5.781  -11.526    4.928
     396   -4.771   -0.635   -9.731   -8.390   11.163
     397   -2.602    0.535   -7.539  -14.433    6.100
     398    1.459   -3.547  -11.370  -14.875    4.213
     399    7.074   -1.534   -6.482  -17.503    7.238
     400    2.073   -2.153   -2.755  -16.230    4.717
     401    2.951   -3.362   -4.047  -14.689    6.551
     402    1.664   -2.298   -2.678  -14.641    6.718
     403    3.277   -0.626   -8.145  -10.016    2.976
     404    6.564   -0.476   -5.176  -14.138    2.775
     405    4.125   -1.293   -1.505  -14.649    5.180
     406    0.643   -2.396   -0.520  -12.757    5.178
     407   -0.249    0.190   -0.591   -9.955    5.825
     408   -3.453    0.501    2.032   -8.154    5.893
     409   -4.660    0.310   -4.972   -8.496   -0.022
     410   -1.704   -1.034   -7.716   -8.864    2.872
     411    6.869    4.401   -6.263  -12.324    1.909
     412    0.834    4.015   -8.235   -8.663    3.204
     413    4.528    1.269   -7.804  -12.818    1.735
     414    9.250    2.030   -7.342  -15.290    1.240
     415    2.092    2.131   -5.611   -9.733    3.029
     416   -4.529   -3.400   -2.610  -12.793    0.365
     417   -4.755   -1.881   -6.084  -10.137    0.436
     418   -0.178   -2.960  -11.352  -10.955    4.255
     419    7.003   -2.610   -7.944  -12.336    0.450
     420    3.149   -2.633  -10.112   -9.044    1.232
     421    4.283   -5.241   -5.086  -11.634    4.761
     422    2.165   -4.821   -7.442  -13.065    3.701
     423    6.808   -1.110   -4.994  -14.759    4.007
     424    5.300    1.994   -8.146  -15.162   -0.984
     425    7.396    3.485   -7.431  -13.830   -4.159
     426    6.494    5.078   -8.747  -13.409    2.785
     427    7.074    4.688   -9.765  -15.273   -0.857
     428   -2.195    1.423   -7.817  -17.116   -0.983
     429    0.557   -1.748   -9.153  -13.035    5.345
     430    1.422    4.430   -0.612  -15.288    3.563
     431    1.414    2.018    0.748  -13.938    1.693
     432   -1.327    2.370    5.139  -12.124    5.708
     433    4.214   -0.140    0.701  -12.543    4.575
     434    0.907    4.189    3.109  -10.605    6.880
     435   -1.130    2.921    5.349  -10.627    6.566
     436    1.898    3.297    3.836   -5.303    6.482
     437   -1.976   -0.004   -2.272   -7.084    6.847
     438   -1.885    2.735    2.852   -8.639    7.497
     439   -5.534    2.012   -0.997   -5.677    8.776
     440   -1.981    3.034   -0.140   -8.666    3.232
     441    3.763    2.375    1.048  -12.289    5.805
     442   -0.883    2.792    0.834   -8.741    5.603
     443   -0.056    3.665    5.176  -10.289    1.068
     444    1.191    2.842    3.169  -10.631    2.865
     445    0.489    2.210   -2.785  -12.432    4.342
     446    0.896    1.041    3.867  -10.945    3.132
     447    0.320    0.694    4.082   -9.748    3.588
     448    2.612   -1.409   -3.788  -13.443    5.428
     449   -2.098    0.177   -6.162   -9.576    3.758
