#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     380    9.944    1.796  -14.868   -0.248   -7.368
     381   11.565   -0.579  -14.199   -3.890   -2.560
     382    8.304    1.290  -14.363   -3.804   -4.671
     383    8.167    4.438  -14.105   -0.304   -4.394
     384   12.929    3.034  -14.803   -8.876   -5.909
     385   10.123   -1.231  -13.621   -9.006   -4.127
     386    9.077    2.918  -15.343   -4.175   -4.804
     387    9.603    5.720  -17.372   -5.644   -4.767
     388   11.582    4.034  -17.931   -4.362   -7.870
     389   12.094    4.937  -16.580   -0.013   -2.720
     390    3.497   -5.008  -14.151   -3.297   -8.004
     391    9.614    1.639  -17.493   -5.552   -4.532
     392    7.475    2.514  -16.035   -3.795   -5.560
     393    7.888    3.914  -17.626   -8.143   -6.076
     394   12.395    5.814  -16.670  -11.538    1.399
     395   11.287    6.509  -15.908   -5.380   -2.253
     396    9.114    2.810  -15.031   -4.371   -4.192
     397   13.985    4.272  -15.683  -10.169    1.674
     398    8.902    3.598  -19.125   -8.524    2.919
     399    8.241   -1.645  -19.863  -14.016    1.256
     400    5.539    0.985  -16.911   -5.939   -0.320
     401    8.955    2.185  -17.937   -3.154   -2.051
     402    7.119    2.343  -17.584   -5.997    2.677
     403    8.549    1.766  -13.683   -4.239    4.760
     404   10.241   -0.134  -13.446   -3.393   -0.256
     405    7.136   -1.233  -13.812   -4.371    0.850
     406    8.858    2.955  -12.682   -5.298   -0.878
     407    7.147    4.419  -12.577   -6.937   -6.493
     408    8.338    4.189  -14.944   -8.419   -5.646
     409    9.175    6.946  -14.402   -1.091   -0.879
     410   11.229   10.429  -14.810   -4.426    0.124
     411   10.509    6.413  -13.416   -3.513   -5.288
     412    5.930    4.476  -14.966   -7.263   -3.610
     413   10.846    3.122  -14.056   -4.640   -6.176
     414    7.115    2.277  -13.323   -0.737   -6.548
     415   11.145    3.929  -14.278   -4.900   -7.574
     416   11.921    2.173  -15.148   -9.729   -6.687
     417   11.117   -0.356  -15.108   -5.086   -3.816
     418   10.111    1.552  -15.220   -6.243   -5.409
     419    9.932   -1.549  -14.374   -6.730   -2.722
     420    8.788   -1.546  -13.909   -6.306   -1.895
     421    7.509   -1.731  -12.605   -4.505   -3.650
     422    8.013   -2.250  -10.911   -6.395   -5.532
     423    8.348   -1.521  -13.508  -10.814   -6.881
     424   11.801    3.695  -11.630   -7.423   -7.871
     425   10.158    1.951  -14.987   -8.356   -2.837
     426    8.274    1.017  -11.406   -5.485   -6.868
     427   10.423    2.807  -15.616   -4.951   -3.403
     428   12.042    5.679  -15.156   -8.352   -0.796
     429    7.232    2.343  -11.097  -10.749   -5.100
     430   12.666    6.160  -12.304   -5.937   -3.287
     431    9.738    7.930  -14.214   -6.586   -5.178
     432   13.059    5.792  -12.610   -1.907   -1.089
     433   11.386    3.032  -13.764   -8.324   -7.192
     434   11.279    2.092  -17.106   -8.636   -6.341
     435   10.140    3.805  -17.857   -4.802   -5.367
     436    9.531    1.292  -14.803   -6.652   -5.974
     437   11.139    1.686  -17.580  -12.459   -7.492
     438   10.247    1.972  -11.851   -7.030  -10.334
     439   10.244    1.524  -12.358  -12.033  -11.550
     440    7.867    1.071  -12.341  -11.818   -9.813
     441   10.959    2.092  -11.535  -12.042   -7.358
     442   11.168    6.772  -10.781   -7.978  -14.262
     443    9.956    2.731   -9.888  -13.222  -10.319
     444   12.063    3.102   -9.172   -3.158  -11.081
     445   12.591    2.798  -10.295   -4.207   -5.505
     446    9.532    5.785  -14.378   -6.285   -2.652
     447   10.406    6.625  -11.425  -10.499   -3.023
     448    9.514    5.756  -12.457  -12.701   -0.859
     449   13.919    6.449  -11.514   -7.157   -5.446
     450   12.579    7.157  -16.906   -8.915   -1.219
     451   12.589    2.084   -8.484   -1.925   -8.065
     452   13.538    1.643  -13.564   -9.790   -4.014
     453   10.357    4.637  -11.757   -7.069   -5.500
     454   13.358    1.404  -12.972   -4.700  -10.411
     455   15.148    4.104  -15.060   -4.215   -2.646
     456   12.395    2.810  -12.048   -4.856   -4.463
     457   12.391    3.256  -14.521   -4.881   -5.710
     458   10.000    3.276  -14.260   -8.717   -5.029
     459   13.860    2.008  -14.538   -6.925   -0.346
     460   13.808    1.247  -12.352   -2.414   -0.580
     461   11.927    4.512  -16.189   -6.612    0.805
     462   12.418    6.963  -12.772   -4.351   -8.314
     463   11.628    7.831  -11.155    4.930   -9.723
     464   11.318    7.843  -11.533    1.376   -2.484
     465   10.737    5.928  -10.158   -4.117   -2.545
     466   11.989    7.019  -12.506   -2.651   -2.647
     467    9.927    6.846  -13.098    3.920    1.793
     468   10.760    3.543  -14.626   -1.224   -0.041
     469   12.606    6.651  -14.065    0.367   -2.424
     470    7.717    3.344  -15.840   -1.277   -3.659
     471    9.289   -1.989  -14.510   -4.644   -2.005
     472    9.567   -1.415  -14.085   -3.231   -8.251
     473   11.675   -1.979  -12.163   -1.428   -5.197
     474   11.980    0.668  -11.902   -3.824   -2.320
     475    8.140    0.970  -12.257   -3.937   -6.026
     476    9.731    0.119  -13.502   -2.653   -0.815
     477    7.800    1.632  -13.246   -3.174   -4.653
     478    8.973   -0.095  -11.748  -10.850   -5.653
     479    9.133   -1.634  -11.787   -1.951    1.036
     480   10.754    2.414  -12.695   -3.470    2.217
     481   11.008    2.830  -12.181   -7.978   -1.491
     482    6.482   -0.259  -12.113  -10.789    0.896
     483    9.888    5.712  -13.354   -5.312   -2.412
     484   10.856   -1.125  -13.322  -11.152    1.891
     485    7.069   -3.082  -11.346   -8.942    2.430
     486   11.136    0.602  -11.378   -4.055    2.157
     487    9.222   -0.317  -11.398   -3.698   -2.615
     488    5.447    0.337  -12.571   -5.090   -4.577
     489    6.193   -0.135   -9.811   -4.194  -10.432
     490    8.054   -0.949   -9.820   -0.865   -7.825
     491    9.700    3.667  -11.052   -3.731   -1.664
     492    8.439    3.598  -12.081   -2.836   -2.009
     493    8.612    6.270   -7.141   -3.508   -3.509
     494    8.347    7.840   -7.250   -1.788    0.191
